date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03 00:00:00+00:00,53.75,54.06,52.94,53.12,428900,5.5042770004,5.536022598,5.4213288261,5.4397617537,3431200,0.0,1.0
2000-01-04 00:00:00+00:00,53.06,54.25,52.94,53.38,749700,5.4336174445,5.5554795772,5.4213288261,5.4663870936,5997600,0.0,1.0
2000-01-05 00:00:00+00:00,52.94,54.19,52.62,53.12,1320300,5.4213288261,5.549335268,5.388559177,5.4397617537,10562400,0.0,1.0
2000-01-06 00:00:00+00:00,54.88,55.5,52.88,53.0,1912500,5.6199948239,5.6834860191,5.4151845169,5.4274731353,15300000,0.0,1.0
2000-01-07 00:00:00+00:00,61.31,61.5,56.88,57.5,2020100,6.2784599609,6.29791694,5.8248051309,5.888296326,16160800,0.0,1.0
2000-01-10 00:00:00+00:00,60.25,61.88,59.81,61.81,1167000,6.1699104982,6.3368308984,6.1248522306,6.3296625376,9336000,0.0,1.0
2000-01-11 00:00:00+00:00,60.38,61.31,58.69,59.0,1248500,6.1832231681,6.2784599609,6.0101584587,6.0419040563,9988000,0.0,1.0
2000-01-12 00:00:00+00:00,59.81,61.0,59.5,59.88,797300,6.1248522306,6.2467143633,6.093106633,6.1320205914,6378400,0.0,1.0
2000-01-13 00:00:00+00:00,61.69,61.94,59.81,60.12,872700,6.3173739192,6.3429752076,6.1248522306,6.1565978282,6981600,0.0,1.0
2000-01-14 00:00:00+00:00,61.62,62.81,61.5,62.0,1161600,6.3102055585,6.4320676911,6.29791694,6.3491195168,9292800,0.0,1.0
2000-01-18 00:00:00+00:00,59.0,61.0,58.25,60.25,689300,6.0419040563,6.2467143633,5.9651001912,6.1699104982,5514400,0.0,1.0
2000-01-19 00:00:00+00:00,59.5,60.44,58.5,58.5,966300,6.093106633,6.1893674773,5.9907014795,5.9907014795,7730400,0.0,1.0
2000-01-20 00:00:00+00:00,61.0,61.0,58.5,59.5,1057200,6.2467143633,6.2467143633,5.9907014795,6.093106633,8457600,0.0,1.0
2000-01-21 00:00:00+00:00,58.38,61.0,57.75,61.0,1610100,5.9784128611,6.2467143633,5.9138976144,6.2467143633,12880800,0.0,1.0
2000-01-24 00:00:00+00:00,55.19,58.06,54.56,57.38,1187900,5.6517404215,5.945643212,5.5872251748,5.8760077076,9503200,0.0,1.0
2000-01-25 00:00:00+00:00,55.19,56.19,54.56,55.5,1052000,5.6517404215,5.754145575,5.5872251748,5.6834860191,8416000,0.0,1.0
2000-01-26 00:00:00+00:00,55.06,56.31,54.5,54.5,1099700,5.6384277515,5.7664341934,5.5810808656,5.5810808656,8797600,0.0,1.0
2000-01-27 00:00:00+00:00,54.19,55.31,53.88,55.06,1131700,5.549335268,5.6640290399,5.5175896704,5.6384277515,9053600,0.0,1.0
2000-01-28 00:00:00+00:00,52.62,54.62,52.25,52.25,1594300,5.388559177,5.593369484,5.3506692702,5.3506692702,12754400,0.0,1.0
2000-01-31 00:00:00+00:00,53.0,55.25,52.56,52.62,598800,5.4274731353,5.6578847307,5.3824148678,5.388559177,4790400,0.0,1.0
2000-02-01 00:00:00+00:00,54.44,55.44,53.12,53.5,498000,5.5749365564,5.6773417098,5.4397617537,5.4786757121,3984000,0.0,1.0
2000-02-02 00:00:00+00:00,55.88,56.5,54.88,54.88,832500,5.7223999774,5.7858911726,5.6199948239,5.6199948239,6660000,0.0,1.0
2000-02-03 00:00:00+00:00,55.38,56.0,55.06,55.38,1715100,5.6711974006,5.7346885958,5.6384277515,5.6711974006,13720800,0.0,1.0
2000-02-04 00:00:00+00:00,56.75,56.81,55.62,55.62,899900,5.8114924609,5.8176367701,5.6957746375,5.6957746375,7199200,0.0,1.0
2000-02-07 00:00:00+00:00,58.19,58.5,55.81,56.0,1452100,5.958955882,5.9907014795,5.7152316166,5.7346885958,11616800,0.0,1.0
2000-02-08 00:00:00+00:00,56.0,57.12,55.75,56.0,1040700,5.7346885958,5.8493823677,5.7090873074,5.7346885958,8325600,0.0,1.0
2000-02-09 00:00:00+00:00,53.94,56.69,53.75,56.5,940800,5.5237339796,5.8053481517,5.5042770004,5.7858911726,7526400,0.0,1.0
2000-02-10 00:00:00+00:00,57.88,60.44,57.06,57.88,2611000,5.9272102844,6.1893674773,5.8432380585,5.9272102844,20888000,0.0,1.0
2000-02-11 00:00:00+00:00,56.0,59.12,55.88,57.12,2362000,5.7346885958,6.0541926747,5.7223999774,5.8493823677,18896000,0.0,1.0
2000-02-14 00:00:00+00:00,56.88,57.5,56.38,56.62,909500,5.8248051309,5.888296326,5.7736025541,5.798179791,7276000,0.0,1.0
2000-02-15 00:00:00+00:00,59.38,61.44,58.25,58.38,2110700,6.0808180146,6.2917726308,5.9651001912,5.9784128611,16885600,0.0,1.0
2000-02-16 00:00:00+00:00,61.31,62.5,59.31,59.69,2051600,6.2784599609,6.4003220935,6.0736496539,6.1125636122,16412800,0.0,1.0
2000-02-17 00:00:00+00:00,62.88,64.69,61.88,62.0,1552400,6.4392360519,6.6245893797,6.3368308984,6.3491195168,12419200,0.0,1.0
2000-02-18 00:00:00+00:00,57.88,62.5,57.25,62.12,1896300,5.9272102844,6.4003220935,5.8626950377,6.3614081352,15170400,0.0,1.0
2000-02-22 00:00:00+00:00,58.81,59.62,57.69,58.0,728600,6.0224470771,6.1053952515,5.9077533052,5.9394989028,5828800,0.0,1.0
2000-02-23 00:00:00+00:00,57.25,58.5,56.88,58.25,1225800,5.8626950377,5.9907014795,5.8248051309,5.9651001912,9806400,0.0,1.0
2000-02-24 00:00:00+00:00,52.62,56.75,51.94,56.62,1626500,5.388559177,5.8114924609,5.3189236726,5.798179791,13012000,0.0,1.0
2000-02-25 00:00:00+00:00,51.25,52.88,50.56,52.62,1207300,5.2482641167,5.4151845169,5.1776045608,5.388559177,9658400,0.0,1.0
2000-02-28 00:00:00+00:00,51.44,52.44,50.5,51.0,1066700,5.2677210959,5.3701262494,5.1714602516,5.2226628283,8533600,0.0,1.0
2000-02-29 00:00:00+00:00,51.12,51.94,51.0,51.19,963900,5.2349514467,5.3189236726,5.2226628283,5.2421198075,7711200,0.0,1.0
2000-03-01 00:00:00+00:00,54.62,55.38,49.81,51.12,1570600,5.593369484,5.6711974006,5.1008006957,5.2349514467,12564800,0.0,1.0
